id	content_type	sentence
117	other	ilo lape
118	other	ilo lape soweli
119	other	ilo li lon poki.
120	other	ilo li pakala.
121	other	ilo moku
122	other	ilo moku
123	other	ilo musi
124	other	ilo nanpa
125	other	ilo nasa
126	other	ilo nasa wawa
127	other	ilo ni li lete pilin.
128	other	ilo
129	other	ilo pi sitelen tawa
130	other	ilo pi sitelen tawa
131	other	ilo pi sitelen toki
132	other	ilo sona
133	other	ilo suno
134	other	ilo suno
135	other	ilo toki
136	other	ilo
137	other	ilo unpa
138	other	ilo wan ma
139	other	Inli
140	other	insa
141	other	insa
142	other	insa
143	other	Intonesija
144	other	Isale
145	other	Isilan
146	other	Italija
147	other	jaki
148	other	jaki
149	other	jaki
150	other	jaki (e)
151	other	jaki!
152	other	jaki
153	other	Jamanija
154	other	jan
155	other	jan
156	other	jan ala li toki.
157	other	jan alasa pona li wawa.
158	other	jan ali li wile tawa.
159	other	jan Ana o pana e moku, tawa mi!
160	other	jan Eliku Kulaputon
161	other	jan Elu
162	other	jan Epi o a!
163	other	jan Eta li jan unpa.
164	other	jan (e)
165	other	jan ike
166	other	jan ike
167	other	jan ike li kama la o seli e lipu ni!
168	other	jan ike li utala e ona mute.
169	other	jan ike ni li jo e len nasa.
170	other	jan jelo laso lili li kama, tan sewi.
171	other	jan Jon Kalapin
172	other	jan kala
173	other	jan Kanata
174	other	jan Keli o, sina pona lukin.
175	other	jan Ken o, mi olin e sina.
176	other	jan Ken o, pipi li lon len sina.
177	other	jan Kitopokolonpo
178	other	jan kulupu
179	other	jan laso jelo lili li kama, tan sewi. /
180	other	jan laso lili
181	other	jan lawa
182	other	jan lawa
183	other	jan lawa lete
184	other	jan lawa li moku e telo jaki.
185	other	jan lawa ma
186	other	jan lawa pi jan utala
187	other	jan lawa pi ma tomo
188	other	jan lawa pi tomo tawa kon
189	other	jan lawa pi tomo tawa telo li moku.
190	other	jan li alasa e soweli.
191	other	jan lili
192	other	jan lili
193	other	jan lili en jan suli li toki.
194	other	jan lili li ken ala moku e telo nasa.
195	other	jan lili li lukin e jan suli.
196	other	jan lili li sona ala e ike.
197	other	jan lili li wile e telo kili.
198	other	jan lili pi jan Keli li musi.
199	other	jan lili pi jan Ken en jan Lisa li suwi.
200	other	jan lili sina li suwi.
201	other	jan lili
202	other	jan lili tu wan
203	other	jan li lon insa tomo.
204	other	jan li lukin sama pipi.
205	other	jan li moku.
206	other	jan li moli e waso.
207	other	jan li moli
208	other	jan li pona.
209	other	jan Lisa li pona.
210	other	jan Lisa o, toki!
211	other	jan Lisa o, toki!
212	other	jan Lisa taso li kama.
213	other	jan li seme
214	other	jan li suli mute. mani li suli lili.
215	other	jan li toki kepeken toki pona lon tomo toki.
216	other	jan li wile jo e ma.
217	other	jan luka tu
218	other	jan Mawen o, sina wile ala wile moku?
219	other	jan Mawi li pana e seli tawa ma.
220	other	jan Mesiko
221	other	jan Mewi li toki tawa mi.
222	other	jan moli
223	other	jan Mose o lawa e mi mute, tawa ma pona!
224	other	jan mute kin li kama!
225	other	jan mute li kama.
226	other	jan mute li kama.
227	other	jan mute lili li kama.
228	other	jan mute lili li kama.
229	other	jan nanpa tu tu
230	other	jan nasa
231	other	jan nasa utala
232	other	jan Nesan li musi.
233	other	jan ni li pona lukin
234	other	jan ni li sama mi.
235	other	jan
236	other	jan olin
237	other	jan olin
238	other	jan pakala
239	other	jan pali pi ma ali o wan!
240	other	jan pali
241	other	jan Pawe o, mi wile ala moli.
242	other	jan Pentan li pana e sona tawa mi.
243	other	jan
244	other	jan
245	other	jan pi ike lukin
246	other	jan pi jan unpa mute
247	other	jan pi kama sona
248	other	jan pi ma ante
249	other	jan pi ma sama
250	other	jan pi ma tomo
251	other	jan pi musi sijelo
252	other	jan pi nanpa wan li lon.
253	other	jan pi nasin sewi Kolisu
254	other	jan (pi pali) moku
255	other	jan (pi pali) unpa
256	other	jan (pi pali) unpa
257	other	jan pi pana sona
258	other	jan pi pona lukin
259	other	jan pi pona pilin
260	other	jan pi pona sijelo
261	other	jan pi tomo pali
262	other	jan pi tomo sama
263	other	jan pi wawa ala
264	other	jan poka
265	other	jan pona
266	other	jan pona
267	other	jan pona mi li lon poka mi.
268	other	jan sama
269	other	jan sama
270	other	jan San li seme?
271	other	jan San o, ...
272	other	jan San o tawa tomo sina!
273	other	jan Santa
274	other	jan seme li lon? / jan seme li lon ni?
275	other	jan seme li meli sina?
276	other	jan seme li moku?
277	other	jan seme li olin e sina?
278	other	jan seme li tawa poka sina?
279	other	jan seme pi kulupu ni li suli?
280	other	jan Sesi o moku e kili ni!
281	other	jan sewi
282	other	jan sin li kama ala kama?
283	other	jan sin li kama.
284	other	jan Sipi Wanta
285	other	jan
286	other	jan sona
287	other	jan sona li jan nasa.
288	other	jan sona nanpa
289	other	jan sona pilin
290	other	jan sona sijelo
291	other	jan suli
292	other	jan suli
293	other	jan Susan anu jan Lisa li moku e suwi?
294	other	jan Susan li nasa.
295	other	jan Ta o toki ala tawa mi!
296	other	jan Tepani o, sina ike tawa mi.
297	other	jan toki
298	other	jan Toni Kena
299	other	jan unpa
300	other	jan unpa
301	other	jan utala ali li nasa
302	other	jan utala ali li nasa.
303	other	jan utala li seli ala seli e tomo?
304	other	jan utala nasa mute
305	other	jan utala nasa ni
306	other	jan utala nasa
307	other	jan utala pi ma Losi li ike tawa ma ali.
308	other	jan utala
309	other	jan Wasintan [Washington] li jan lawa pona pi ma Mewika.
310	other	jan wawa ala
311	other	jan wawa
312	other	jelo
313	other	jelo
314	other	jelo
315	other	jelo
316	other	jo
317	other	jo ala e selo lon pini palisa
318	other	jo e linja mute
319	other	jo e mani mute
320	other	jo e pilin pona
321	other	jo e selo lon pini palisa
322	other	jo e sijelo pona
323	other	jo (e)
324	other	jo ijo mute li ike e jan.
325	other	jo
326	other	jo
327	other	kala
328	other	kala
329	other	kala
330	other	kala kule mute
331	other	kala lete
332	other	Kalalinuna
333	other	kalama
334	other	kalama ala li lon
335	other	kalama (e)
336	other	kalama musi en meli li pona, tawa mi.
337	other	"kalama musi ""Jingle Bells"" li pona tawa mi."
338	other	kalama musi li pona tawa mi.
339	other	kalama musi pi jan Elton-John li nasa.
340	other	kalama musi pi jan Enja li pona.
341	other	kalama ni li seme?
342	other	kalama
343	other	kalama
344	other	kalama
345	other	kala
346	other	kama
347	other	kama
348	other	kama (e)
349	other	kama jo e lupa meli
350	other	kama jo e palisa mije
351	other	kama jo e sinpin lawa meli
352	other	kama jo e sinpin mije
353	other	kama jo (e)
354	other	kama jo
355	other	kama moli
356	other	kama
357	other	kama olin
358	other	kama pona!
359	other	kama sona (e)
360	other	kama
361	other	kama
362	other	kama
363	other	kama
364	other	Kana
365	other	Kanata
366	other	Kanse
367	other	kasi
368	other	kasi anpa
369	other	kasi (e)
370	other	kasi
371	other	kasi kule
372	other	kasi kule li pona lukin.
373	other	kasi kule loje lili
374	other	kasi nasa
375	other	kasi nasa / kasi sona
376	other	kasi
377	other	kasi pi tenpo pona Kolisu
378	other	kasi
379	other	kasi sona
380	other	kasi suli
381	other	kasi
382	other	kasi wawa
383	other	Katala
384	other	Katelo
385	other	Katemala
386	other	Kenata
387	other	ken
388	other	ken (e)
389	other	ken la
390	other	ken la ilo li pakala.
391	other	ken la jan lili li wile moku e telo.
392	other	ken la jan Lisa li jo e ona.
393	other	ken la jan Susan li kama.
394	other	ken la mi ken tawa ma Elopa.
395	other	ken la ona li lape.
396	other	ken la ona li lon tomo sona.
397	other	ken la tenpo pimeja la ni li pona.
398	other	ken
399	other	ken
400	other	ken
401	other	Kepeka
402	other	kepeken ike e ilo nasa
403	other	kepeken kasi nasa
404	other	kepeken lili e ilo nasa
405	other	kepeken
406	other	, kepeken
407	other	kepeken
408	other	kepeken utala
409	other	kepeken
410	other	kepeken
411	other	Keposi
412	other	kili
413	other	kili
414	other	kili
415	other	kili
416	other	kili lili kiwen
417	other	kili lili
418	other	kili li lon poki.
419	other	kili li moku li pona.
420	other	kili li pona, tawa mi.
421	other	kili li tawa anpa poka kasi.
422	other	kili loje
423	other	kili ma
424	other	kili
425	other	kili palisa
426	other	Kilipasi
427	other	kili pi jan Linta li ike.
428	other	kili pi jan Susan
429	other	kili suwi
430	other	kili
431	other	kin
432	other	kin
433	other	kin
434	other	kin la
435	other	Kinla
436	other	kipisi (e)
437	other	kipisi
438	other	kipisi
439	other	kiwen
440	other	kiwen
441	other	kiwen (e)
442	other	kiwen
443	other	kiwen
444	other	ko (e)
445	other	ko jaki
446	other	ko jaki lon nena sinpin
447	other	ko jaki
448	other	ko lete li kama
449	other	kon
450	other	kon
451	other	kon
452	other	kon en sewi
453	other	Konko (pi ma tomo Kinsasa)
454	other	Konko (pi ma tomo Pasawi)
455	other	kon
456	other	ko
457	other	kon sewi li jo e walo
458	other	kon telo walo
459	other	kon
460	other	kon
461	other	Kosalika
462	other	ko
463	other	Kosiwa
464	other	ko (walo) wawa
465	other	kule
466	other	kule
467	other	kule
468	other	kule (e)
469	other	kule laso loje li pona, tawa mi.
470	other	kule loje laso li pona, tawa mi. /
471	other	kule lon palisa luka
472	other	kule
473	other	kule seme li pona, tawa sina?
474	other	kulupu
475	other	kulupu
476	other	kulupu mama
477	other	kulupu
478	other	kulupu pi kalama musi pi ma Inli li pona.
479	other	kulupu pi ma Inli pi kalama musi li pona.
480	other	kulupu pi tenpo mun
481	other	kulupu pi tenpo suno luka tu
482	other	kulupu pi toki pona
483	other	kulupu
484	other	Kupa
485	other	Kusala
486	other	kute
487	other	kute (e)
488	other	kute
489	other	kute
490	other	Kuwasi
491	other	Lanka
492	other	lape
493	other	lape
494	other	lape li pona.
495	other	lape
496	other	lape pona!
497	other	lape
498	other	lape
499	other	lape
500	other	la
501	other	la
502	other	laso
503	other	laso
504	other	laso
505	other	laso jelo
506	other	laso jelo / jelo laso
507	other	laso loje / loje laso
508	other	laso loje
509	other	laso
510	other	laso pimeja
511	other	lawa
512	other	lawa
513	other	lawa e pilin
514	other	lawa (e)
515	other	lawa
516	other	lawa
517	other	lawa
518	other	len
519	other	len
520	other	len
521	other	len (e)
522	other	len jan
523	other	len lawa
524	other	len luka
525	other	len ni li kule seme?
526	other	len noka
527	other	len
528	other	len pi jan Lisa
529	other	len pi jan Susan li jaki.
530	other	len pi loje en laso
531	other	Lesi
532	other	lete
533	other	lete
534	other	lete
535	other	lete (e)
536	other	lete lili li lon.
537	other	lete lili li lon kin.
538	other	lete li lon
539	other	lete li lon.
540	other	lete mute li lon.
541	other	lete
542	other	lili
543	other	lili
544	other	lili (e)
545	other	lili
546	other	lili
547	other	lili
548	other	linja
549	other	linja (lawa)
550	other	linja lawa
551	other	linja lili oko
552	other	linja
553	other	linja mi li telo.
554	other	linja
555	other	linja sinpin
556	other	linja uta
557	other	Lipija
558	other	lipu
559	other	lipu ni li lete pilin.
560	other	lipu
561	other	lipu
562	other	lipu toki
563	other	Lisensan
564	other	li
565	other	loje
566	other	loje jelo
567	other	loje laso (pimeja)
568	other	loje
569	other	loje
570	other	loje walo
571	other	loje walo
572	other	Lomani
573	other	lon
574	other	lon ala
575	other	lon
576	other	, lon
577	other	lon tenpo pi pali ala
578	other	lon
579	other	lon
580	other	lon
581	other	lon
582	other	Losi
583	other	Lowasi
584	other	Lowenki
585	other	Lowensina
586	other	luka
587	other	luka
588	other	luka
589	other	luka
590	other	luka
591	other	luka
592	other	luka luka
593	other	luka luka luka
594	other	luka luka tu
595	other	luka luka tu tu
596	other	luka luka tu wan
597	other	luka luka wan
598	other	luka mi li jaki. mi wile telo e ona.
599	other	luka
600	other	luka tu
601	other	luka tu tu
602	other	luka tu wan
603	other	luka wan
604	other	lukin
605	other	lukin
606	other	lukin
607	other	lukin e toki
608	other	lukin (e)
609	other	lukin jo e pali
610	other	lukin
611	other	lukin
612	other	lukin
613	other	lukin
614	other	Lunpan
615	other	lupa (e)
616	other	lupa
617	other	lupa
618	other	lupa jaki
619	other	lupa kute
620	other	lupa meli li mama ale.
621	other	lupa meli
622	other	lupa (meli)
623	other	lupa monsi
624	other	lupa nena
625	other	lupa ni li suli.
626	other	lupa
627	other	lupa pi telo jelo
628	other	lupa (tomo)
629	other	Lusepu
630	other	Luwanta
631	other	ma
632	other	ma ali li pona.
633	other	ma Amelika lete
634	other	ma Amelika seli
635	other	ma Amelika
636	other	ma Antasika
637	other	ma Apika
638	other	ma Asija
639	other	ma
640	other	ma Elopa
641	other	ma Elopa li weka, tan ma Mewika.
642	other	ma Inli li pona.
643	other	ma Italija li pona lukin.
644	other	ma Kanata li pona.
645	other	ma kasi
646	other	Maketonija
647	other	Malakasi
648	other	ma
649	other	Malasija
650	other	Malawi
651	other	ma li lon anpa mi.
652	other	Mali
653	other	Malipe
654	other	ma li pona lukin.
655	other	ma lon telo
656	other	mama
657	other	mama
658	other	mama (e)
659	other	mama mama
660	other	mama meli
661	other	mama meli
662	other	mama meli o awen!
663	other	mama mije
664	other	mama mije
665	other	mama mi li moli la mi pilin ike.
666	other	mama
667	other	mama
668	other	mama ona li kepeken kasi nasa.
669	other	mama
670	other	ma Mewika li weka ala, tan ma Kupa.
671	other	ma mi li pimeja.
672	other	mani
673	other	mani
674	other	mani
675	other	mani
676	other	mani pi ma ante li pona, tawa mi.
677	other	ma
678	other	ma pi jan Keli
679	other	ma seme li pona, tawa sina?
680	other	Masija
681	other	ma sina
682	other	Masu
683	other	ma telo
684	other	ma tomo Akajela
685	other	ma tomo Alana
686	other	ma tomo Alawa
687	other	ma tomo Alenta
688	other	ma tomo Alipasi
689	other	ma tomo Anpu
690	other	ma tomo Ansetan
691	other	ma tomo Asina
692	other	ma tomo
693	other	ma tomo Ele
694	other	ma tomo Esupo
695	other	ma tomo Iwesun
696	other	ma tomo Kakawi
697	other	ma tomo Kenpisi
698	other	ma tomo Kunte
699	other	ma tomo Lantan li suli.
700	other	ma tomo Lanten
701	other	ma tomo lawa
702	other	ma tomo Lesinki
703	other	ma tomo Loma
704	other	ma tomo Loma
705	other	ma tomo Manten
706	other	ma tomo Mesiko
707	other	ma tomo Milano
708	other	ma tomo Minsen
709	other	ma tomo Monkela
710	other	ma tomo Napoli
711	other	ma tomo Nujoka
712	other	ma tomo Osaka
713	other	ma tomo Paki
714	other	ma tomo Pasen
715	other	ma tomo Pelin
716	other	ma tomo Pelin
717	other	ma tomo Peminan
718	other	ma tomo Pesin
719	other	ma tomo Pilense
720	other	ma tomo Polan
721	other	ma tomo Putapesi
722	other	ma tomo Sakata
723	other	ma tomo Sanpansiko
724	other	ma tomo Sawi
725	other	ma tomo Sene
726	other	ma tomo Sensan
727	other	ma tomo Sesija
728	other	ma tomo Sije
729	other	ma tomo Solu
730	other	ma tomo Tanpele
731	other	ma tomo Telawi
732	other	ma tomo Tokijo
733	other	ma tomo Towano
734	other	ma tomo
735	other	ma tomo Tuku
736	other	ma tomo Wankuwa
737	other	ma tomo Wenesija
738	other	meli
739	other	meli en mije
740	other	meli (insa)
741	other	meli Italija
742	other	meli lili
743	other	meli li lon sewi mije
744	other	meli li nasa e mije.
745	other	meli mije
746	other	meli mi nanpa wan li nasa.
747	other	meli
748	other	meli (olin)
749	other	meli pi pana moku
750	other	meli sama
751	other	meli unpa
752	other	meli
753	other	Mesiko
754	other	Mewika
755	other	mi anpa e jan utala.
756	other	mi en meli mi li wan.
757	other	mi en sina li jan pona.
758	other	mi
759	other	Mijama
760	other	mi jan li suli.
761	other	mi jan Pepe.
762	other	mi jan pi toki pona.
763	other	mije
764	other	mije Epanja
765	other	mije (insa)
766	other	mije lili
767	other	mije li lon sewi meli
768	other	mije
769	other	mije meli
770	other	mije
771	other	mije (olin)
772	other	mije sama
773	other	mije unpa
774	other	mi jo e ilo.
775	other	mi jo e kili.
776	other	mi jo e tomo tawa sina. mi pana e ni tawa sina.
777	other	mi jo e tomo tawa tu.
778	other	mi kalama kepeken ilo.
779	other	mi kama e pakala.
780	other	mi kama jo e telo.
781	other	mi kama, tan ma Elopa.
782	other	mi kama tan ma Mewika.
783	other	mi kama tan ma tomo Pelin.
784	other	mi ken ala ken pilin e monsi sina?
785	other	mi ken ala kute e toki sina.
786	other	mi ken ala lape.
787	other	mi kepeken ilo.
788	other	mi kepeken poki li kepeken ilo moku.
789	other	mi kepeken poki ni.
790	other	mi kule e lipu
791	other	mi kute e kalama musi.
792	other	mi kute e toki sina.
793	other	mi lape ala.
794	other	mi lape la ali li pona.
795	other	mi lape. mi sona.
796	other	mi lawa pona e jan.
797	other	mile moku e telo
798	other	mi li jan Ken.
799	other	mi lon e sina.
800	other	mi lon ma kasi.
801	other	mi lon, tan seme?
802	other	mi lon tomo.
803	other	mi lon.
804	other	mi lukin ala e poki laso.
805	other	mi lukin e ma lon poka pi jan pona mi.
806	other	mi lukin e ma. ni li pona, tawa mi.
807	other	mi lukin e ma poka jan pona mi.
808	other	mi lukin e mije anu meli.
809	other	mi lukin e ni.
810	other	mi lukin e soweli luka.
811	other	mi lukin e waso tu wan.
812	other	mi lukin, kepeken ilo suno.
813	other	mi lukin sewi e tomo suli.
814	other	mi lukin taso e meli ni! ali li pona.
815	other	(mi meli.) mi olin e meli.
816	other	(mi mije.) mi olin e mije.
817	other	mi moku e kili e telo.
818	other	mi moku e kili.
819	other	mi moku.
820	other	mi moku.
821	other	mi moku.
822	other	mi moku, kepeken ilo moku.
823	other	mi moku lili e kili lili.
824	other	mi moku li pakala.
825	other	mi moku lon poka sina.
826	other	mi moku, lon tomo.
827	other	mi moku mute. sina moku lili.
828	other	mi moku poka jan pona mi.
829	other	mi moku, tan ni: mi wile moku.
830	other	mi musi ala.
831	other	mi musi taso.
832	other	mi mute li lukin lili e ona.
833	other	mi mute li moku e telo nasa mute.
834	other	mi mute li pana e moku, tawa ona mute.
835	other	mi mute o moku e kala!
836	other	mi mute o musi!
837	other	mi mute o tawa!
838	other	mi mute
839	other	mi nanpa e mani mi, lon esun suli.
840	other	mi olin e sina
841	other	mi olin e sina.
842	other	mi olin kin e sina.
843	other	mi pali mute la mi pilin ike.
844	other	mi pali taso.
845	other	mi pana e ko jaki.
846	other	mi pana e sona pi toki pona tawa ona.
847	other	mi pana e telo jelo.
848	other	mi pilin e ni: ona li jo ala e mani.
849	other	mi pilin e ni: sina ike.
850	other	mi pilin e seli sijelo sina.
851	other	mi pilin ijo.
852	other	mi pilin ike.
853	other	mi pilin lete.
854	other	mi pilin pi meli ni.
855	other	mi pilin pona.
856	other	mi pini e lape sina.
857	other	mi pona ala pona, tawa sina?
858	other	mi pona e ale mi la mi pona e mi.
859	other	mi pona e ijo.
860	other	mi pona e ilo suno, kepeken ilo lili.
861	other	mi pona e tomo, tawa jan pakala.
862	other	mi pona tan ni: mi lon.
863	other	mi pona. taso meli mi li pakala.
864	other	mi
865	other	mi seme e jan telo nasa?
866	other	mi sona ala e nimi pi ona mute.
867	other	mi sona e ni taso.
868	other	mi sona e tan.
869	other	mi suli.
870	other	mi suli mute. sina suli lili.
871	other	mi taso li lon.
872	other	mi tawa!
873	other	mi tawa e kiwen.
874	other	mi tawa
875	other	mi tawa (said by person leaving); tawa pona (said by person staying)
876	other	mi tawa supa lape.
877	other	mi tawa tomo mi.
878	other	mi tawa tomo toki. ona li pona, tawa mi.
879	other	mi telo e mi, lon tomo telo.
880	other	mi toki, tawa sina.
881	other	mi utala ike.
882	other	mi wawa ala.
883	other	mi weka e ijo tu ni.
884	other	mi weka e ike jan la mi weka e ike mi.
885	other	mi weka.
886	other	mi weka.
887	other	mi wile ala e ijo. mi lukin taso.
888	other	mi wile ala pali.
889	other	mi wile ala pali.
890	other	mi wile ala tawa musi.
891	other	mi wile ala toki, tawa sina.
892	other	mi wile e ilo moku.
893	other	mi wile e moku e telo.
894	other	mi wile e ni: mi lon tomo.
895	other	mi wile e sitelen ma.
896	other	mi wile e soweli lili.
897	other	mi wile e suwi!
898	other	mi wile e suwi sin!
899	other	mi wile kama sona e toki Inli.
900	other	mi wile kin tawa tomo mi.
901	other	mi wile lon tomo.
902	other	mi wile lukin e ma ante.
903	other	mi wile lukin e ma e suno.
904	other	mi wile lukin e ma.
905	other	mi wile lukin e tomo mi. taso mi lon ma ante.
906	other	mi wile moku e kili loje.
907	other	mi wile moku e waso.
908	other	mi wile moku. taso mi jo ala e moku.
909	other	mi wile pakala e sina.
910	other	"mi wile pali kepeken nimi ""lon""."
911	other	mi wile pana e ko jaki.
912	other	mi wile pana e telo jelo.
913	other	mi wile sin e telo pi lape ala.
914	other	mi wile tawa ma Oselija.
915	other	mi wile tawa ma Tosi.
916	other	mi wile tawa. taso mi ken ala.
917	other	mi wile tawa tomo ona, kepeken tomo tawa mi.
918	other	mi wile tawa weka.
919	other	mi wile toki meli.
920	other	mi wile unpa e ona.
921	other	mi wile unpa e sina
922	other	moku
923	other	moku
924	other	moku e telo nasa
925	other	moku e telo
926	other	moku (e)
927	other	moku
928	other	moku
929	other	moku lili
930	other	moku lili pi pilin pona mute
931	other	moku lili
932	other	moku li lon insa mi.
933	other	moku li pona, tawa ona.
934	other	moku
935	other	moku pona!
936	other	moku suwi
937	other	moku telo
938	other	moku walo
939	other	moli
940	other	moli
941	other	moli
942	other	moli (e)
943	other	moli
944	other	moli
945	other	monsi
946	other	monsi
947	other	monsi
948	other	monsi
949	other	monsi
950	other	monsi
951	other	monsi
952	other	monsuta
953	other	monsuta
954	other	monsuta
955	other	monsuta waso pi pan linja li pali ali.
956	other	Motowa
957	other	mu
958	other	mu
959	other	mu (e)
960	other	mu!
961	other	Mulitanija
962	other	mu!
963	other	mu!
964	other	mu!
965	other	mun
966	other	mun li pimeja (ale)
967	other	mun li pimeja e suno
968	other	mun li sike (ale)
969	other	mun
970	other	mun
971	other	mu
972	other	musi
973	other	musi
974	other	musi (e)
975	other	musi
976	other	musi pona!
977	other	musi
978	other	musi
979	other	mute
980	other	mute
981	other	mute
982	other	mute (e)
983	other	mute
984	other	mute
985	other	mute
986	other	mute seme?
987	other	mute wan
988	other	mu
989	other	namako
990	other	namako (e)
991	other	namako
992	other	namako
993	other	Namipija
994	other	nanpa
995	other	nanpa (e)
996	other	nanpa
997	other	nanpa
998	other	nanpa pi ilo toki
999	other	nanpa pi ma tomo
1000	other	nasa
1001	other	nasa
1002	other	nasa
1003	other	nasa
1004	other	nasa (e)
1005	other	nasa lukin
1006	other	nasa
1007	other	Naselija
1008	other	nasin
1009	other	nasin ale
1010	other	nasin ante li pona tawa jan ante.
1011	other	nasin li jo e telo kiwen
1012	other	nasin mani li ike.
1013	other	nasin
1014	other	nasin pi toki pona
1015	other	nasin pona Juju
1016	other	nasin pona Lasapali
1017	other	nasin pona Latapali
1018	other	nasin pona li mute.
1019	other	nasin pona
1020	other	nasin pona
1021	other	nasin
1022	other	nasin sewi Jawatu
1023	other	nasin sewi Kolisu
1024	other	nasin sewi ma
1025	other	nasin sewi Patapali
1026	other	nasin sewi Puta
1027	other	nasin sewi
1028	other	nasin sewi
1029	other	nasin sewi
1030	other	nasin sewi Silami
1031	other	nasin tawa pi jan Nuton
1032	other	nena
1033	other	nena
1034	other	nena kon
1035	other	nena kute
1036	other	nena (lawa)
1037	other	nena lili pi nena mama
1038	other	nena lili (unpa) meli
1039	other	nena mama, nena meli
1040	other	nena meli
1041	other	nena
1042	other	nena sike meli
1043	other	nena suli li pana e ko seli
1044	other	Netelan
1045	other	Nijon
1046	other	ni li ike, tawa mi
1047	other	ni li jan lili ona nanpa tu.
1048	other	ni li jan seme?
1049	other	ni li kule seme?
1050	other	ni li lete pilin mute.
1051	other	ni li mute mute tu.
1052	other	ni li pona, tawa mi.
1053	other	ni li seli pilin lili.
1054	other	ni li suwi ala suwi?
1055	other	ni li tawa jan pona mi.
1056	other	ni li tomo. mi pana e ni tawa sina.
1057	other	nimi (e)
1058	other	nimi kepeken @
1059	other	"nimi ""lon"" li pona ala tawa mi."
1060	other	nimi
1061	other	nimi
1062	other	nimi pi mi mute
1063	other	ni
1064	other	Nise
1065	other	ni
1066	other	ni
1067	other	noka
1068	other	noka
1069	other	noka
1070	other	noka
1071	other	noka
1072	other	Nosiki
1073	other	Nusilan
1074	other	o awen!
1075	other	o,
1076	other	o!
1077	other	o jo e sijelo pona
1078	other	o kalama ala!
1079	other	oko
1080	other	oko
1081	other	oko mi li lukin pona
1082	other	oko
1083	other	oko sina li pona lukin
1084	other	olin
1085	other	olin e jan mute
1086	other	olin e meli e mije
1087	other	olin e meli
1088	other	olin e mije
1089	other	olin (e)
1090	other	olin
1091	other	olin suli li awen.
1092	other	olin
1093	other	olin
1094	other	o lukin e ni!
1095	other	o lukin e pipi loje ni!
1096	other	o moli e pipi, kepeken palisa.
1097	other	ona anu jan ante li ike?
1098	other	ona
1099	other	(ona) li ike
1100	other	ona li jan pona pi kalama musi.
1101	other	ona li jo e seme?
1102	other	ona li kama, tawa ma mi.
1103	other	ona li kama tawa tomo mi.
1104	other	ona li kule e tomo tawa.
1105	other	ona li lawa e jan, tawa ma pona.
1106	other	ona li lon ala lon tomo?
1107	other	ona li lon sewi mi.
1108	other	ona li lukin e pipi.
1109	other	ona li lukin sama pipi.
1110	other	ona li mama ala mama?
1111	other	ona li mama anu seme?
1112	other	ona li moku e kili.
1113	other	ona li pali e ni, kepeken nasin seme?
1114	other	ona li pona e ilo.
1115	other	(ona) li pona
1116	other	ona li pona li lili.
1117	other	(ona) li seme?
1118	other	ona li tawa ala tawa ma ike?
1119	other	ona li tawa ala telo.
1120	other	ona li tawa e len mi.
1121	other	ona li tawa sewi kiwen.
